Name,,Quadrant,Carnegie Classification: size and setting,Total enrollment,Undergraduate enrollment,Graduate enrollment,Endowment per full-time equivalent student,Dorm capacity
Wentworth Institute of Technology,A,"Less resourced; more residential","Four-year; medium; highly residential",4516,4341,175,"23608",2162
Springfield College,A,"Less resourced; more residential","Four-year; medium; highly residential",3139,2129,1010,"23530",2144
Pine Manor College,A,"Less resourced; more residential","Four-year; very small; highly residential",423,373,50,"21591",475
Lasell College,A,"Less resourced; more residential","Four-year; small; highly residential",2060,1674,386,"20862",1325
Endicott College,A,"Less resourced; more residential","Four-year; medium; highly residential",4794,3132,1662,"20609",2539
Regis College,A,"Less resourced; more residential","Four-year; small; highly residential",2757,1395,1362,"19475",744
Western New England University,A,"Less resourced; more residential","Four-year; medium; highly residential",3780,2751,1029,"18165",2000
Merrimack College,A,"Less resourced; more residential","Four-year; medium; highly residential",4643,3853,790,"13621",2346
University of Massachusetts-Amherst,A,"Less resourced; more residential","Four-year; large; highly residential",30593,23515,7078,"11333",14044
Massachusetts Maritime Academy,A,"Less resourced; more residential","Four-year; small; highly residential",1802,1709,93,"10982",1615
Nichols College,A,"Less resourced; more residential","Four-year; small; highly residential",1592,1322,270,"10368",984
Massachusetts College of Art and Design,A,"Less resourced; more residential","Four-year; small; highly residential",2087,1954,133,"9485",919
Massachusetts College of Liberal Arts,A,"Less resourced; more residential","Four-year; small; highly residential",1452,1277,175,"8556",1020
American International College,A,"Less resourced; more residential","Four-year; small; highly residential",3152,1336,1816,"7656",853
University of Massachusetts-Dartmouth,A,"Less resourced; more residential","Four-year; medium; highly residential",8513,6841,1672,"7372",4494
Becker College,A,"Less resourced; more residential","Four-year; small; highly residential",1839,1824,15,"2764",916
Bard College at Simon's Rock,A,"Less resourced; more residential","Four-year; very small; highly residential",396,396,0,"2735",400
Montserrat College of Art,A,"Less resourced; more residential","Four-year; very small; highly residential",367,367,0,"2125",272
Westfield State University,A,"Less resourced; more residential","Four-year; medium; highly residential",6100,5382,718,"1620",2881
Northpoint Bible College,A,"Less resourced; more residential","Four-year; very small; highly residential",343,295,48,"1569",500
Massachusetts Institute of Technology,B,"More resourced; more residential","Four-year; large; highly residential",11574,4602,6972,"1454419",5660
Harvard University,B,"More resourced; more residential","Four-year; large; highly residential",31566,9950,21616,"1422130",13723
Williams College,B,"More resourced; more residential","Four-year; small; highly residential",2149,2095,54,"1239390",2054
Amherst College,B,"More resourced; more residential","Four-year; small; highly residential",1855,1855,0,"1223642",1820
Franklin W Olin College of Engineering,B,"More resourced; more residential","Four-year; very small; highly residential",390,390,0,"1091077",354
Wellesley College,B,"More resourced; more residential","Four-year; small; highly residential",2534,2534,0,"774545",2208
Smith College,B,"More resourced; more residential","Four-year; small; highly residential",2903,2502,401,"611178",2384
Mount Holyoke College,B,"More resourced; more residential","Four-year; small; highly residential",2335,2208,127,"334799",2132
College of the Holy Cross,B,"More resourced; more residential","Four-year; small; highly residential",2939,2939,0,"257634",2522
Saint John's Seminary,B,"More resourced; more residential","Four-year; very small; highly residential",143,27,116,"231527",90
Boston College,B,"More resourced; more residential","Four-year; large; highly residential",14720,9927,4793,"192521",7757
Tufts University,B,"More resourced; more residential","Four-year; large; highly residential",11586,5643,5943,"157828",3735
The New England Conservatory of Music,B,"More resourced; more residential","Four-year; very small; highly residential",838,468,370,"156265",255
Brandeis University,B,"More resourced; more residential","Four-year; medium; highly residential",5800,3639,2161,"154905",2792
Clark University,B,"More resourced; more residential","Four-year; medium; highly residential",3122,2304,818,"140563",1762
Wheaton College,B,"More resourced; more residential","Four-year; small; highly residential",1760,1760,0,"115592",1625
Babson College,B,"More resourced; more residential","Four-year; small; highly residential",3357,2361,996,"113786",1894
Hellenic College-Holy Cross Greek Orthodox School of Theology,B,"More resourced; more residential","Four-year; very small; highly residential",154,67,87,"110343",255
Stonehill College,B,"More resourced; more residential","Four-year; small; highly residential",2556,2535,21,"83895",2191
Boston University,B,"More resourced; more residential","Four-year; large; highly residential",34657,18515,16142,"66757",11403
